"","Normal","Tumor"
"ENSG00000006652.15",2.964788,6.210782
"ENSG00000006659.13",10.522749,1.254995
"ENSG00000006695.12",1.791703,1.376197
"ENSG00000006704.11",2.079832,3.160953
"ENSG00000006712.15",0,3.717245
"ENSG00000006715.16",5.279863,4.148042
"ENSG00000006740.18",7.720937,5.143093
"ENSG00000006744.19",2.301294,8.742338
"ENSG00000006747.15",7.159725,2.862673
"ENSG00000006756.16",1.195692,4.985488
"ENSG00000006757.12",2.488177,2.158413
"ENSG00000006788.14",0,0.889756
"ENSG00000006831.10",4.847183,4.910522
"ENSG00000006837.12",18.217597,19.807791
"ENSG00000007001.14",0.297439,1.675308
"ENSG00000007038.11",0,3.060935
"ENSG00000007047.16",4.784255,6.226002
"ENSG00000007062.12",5.00876,11.709187
"ENSG00000007080.11",1.819782,9.005678
"ENSG00000007129.18",0.998411,4.93465
"ENSG00000007168.15",42.776439,22.748252
"ENSG00000007171.19",2.395233,1.416796
"ENSG00000007174.18",3.276671,9.488611
"ENSG00000007202.16",12.388432,7.229403
"ENSG00000007216.16",0.653827,1.751634
"ENSG00000007237.19",2.069492,3.505253
"ENSG00000007255.10",0,1.212244
"ENSG00000007264.15",5.676061,6.640611
"ENSG00000007306.15",0,3.477616
"ENSG00000007312.14",5.638503,4.867055
"ENSG00000007314.12",1.358771,1.509172
"ENSG00000007341.19",13.320297,1.499037
"ENSG00000007350.18",12.044307,4.666413
"ENSG00000007372.25",13.00152,11.234987
"ENSG00000007376.8",2.022462,3.127943
"ENSG00000007384.15",1.758761,1.752536
"ENSG00000007392.17",5.704622,18.491135
"ENSG00000007402.12",0.706808,0.834707
"ENSG00000007516.15",0.402208,1.252014
"ENSG00000007520.4",0,1.698003
"ENSG00000007541.17",4.09648,6.142884
"ENSG00000007545.16",0.347841,0.76151
"ENSG00000007866.22",0.776124,0.392278
"ENSG00000007908.16",3.085675,5.873525
"ENSG00000007923.17",8.040576,9.782503
"ENSG00000007933.13",14.427165,3.250591
"ENSG00000007944.15",0,1.273063
"ENSG00000007952.18",0.295794,0.747972
"ENSG00000007968.7",3.952973,6.34646
"ENSG00000008018.9",0,1.345713
"ENSG00000008056.14",5.679466,2.582808
"ENSG00000008083.14",0.36008,0.665815
"ENSG00000008086.13",60.63111,19.637168
"ENSG00000008118.10",1.144998,0.456505
"ENSG00000008128.23",29.004025,14.076881
"ENSG00000008130.15",3.933511,3.817612
"ENSG00000008196.13",1.311463,0.180369
"ENSG00000008197.5",1.063929,0.897644
"ENSG00000008226.20",0.879453,1.034488
"ENSG00000008256.17",10.96248,4.506996
"ENSG00000008277.15",1.10897,1.654843
"ENSG00000008282.10",1.708082,4.859739
"ENSG00000008283.16",4.633556,5.330045
"ENSG00000008294.22",20.33357,17.004257
"ENSG00000008300.17",0.987805,0.477771
"ENSG00000008311.16",47.483819,27.823595
"ENSG00000008323.16",3.847341,2.540894
"ENSG00000008324.12",3.896975,3.633027
"ENSG00000008382.16",0.482684,3.657337
"ENSG00000008394.13",35.204942,8.234683
"ENSG00000008405.12",0.357955,9.901009
"ENSG00000008438.5",0,0
"ENSG00000008441.19",0.88966,1.289683
"ENSG00000008513.17",1.830174,18.737335
"ENSG00000008516.18",0.187337,2.329548
"ENSG00000008517.19",0,18.022345
"ENSG00000008710.20",43.736425,49.897824
"ENSG00000008735.14",1.567703,2.135054
"ENSG00000008838.21",14.321158,4.652677
"ENSG00000008853.18",2.626291,1.888555
"ENSG00000008869.12",0.095944,5.114934
"ENSG00000008952.17",1.764675,2.904336
"ENSG00000008988.11",40.478946,37.634603
"ENSG00000009307.17",3.478556,6.757434
"ENSG00000009335.19",10.341869,3.147784
"ENSG00000009413.17",329.155484,46.393829
"ENSG00000009694.14",0.203294,0.315983
"ENSG00000009709.13",5.836316,3.102377
"ENSG00000009724.18",6.631185,3.671907
"ENSG00000009765.15",27.302859,13.986085
"ENSG00000009780.16",3.652108,3.076714
"ENSG00000009790.15",12.428007,2.16567
"ENSG00000009830.13",14.287071,22.809361
"ENSG00000009844.16",3.071555,1.158783
"ENSG00000009950.16",63.610274,26.374408
