"Gene","Normal","Tumor","log2FC"
"ENSG00000000003.16",2.82673114534151,28.6550067322423,2.9540912490563
"ENSG00000000419.14",62.060756891308,75.7322378170716,0.283090344059319
"ENSG00000000457.14",21.73620488436,27.3276776309467,0.317220870650091
"ENSG00000000460.17",54.3995359278998,22.4634269237079,-1.23946015121155
"ENSG00000000971.17",202.842122529809,81.7729561943545,-1.30022081644463
"ENSG00000001084.13",46.3537278622386,80.0367127111323,0.775097647281531
"ENSG00000001167.15",6.70515707634064,10.7380034770631,0.607290767839012
"ENSG00000001460.18",42.4327148537284,60.2365417534772,0.495610676673452
"ENSG00000001461.17",10.965928692855,66.3874460969584,2.49354747959982
"ENSG00000001497.18",137.024367650906,47.8163126188796,-1.49948776237021
"ENSG00000001617.12",5.05937540965448,7.11550282102086,0.421511393410427
"ENSG00000001626.18",15.4119183227989,35.4271277957851,1.15026936652411
"ENSG00000001629.10",7.7800391740974,19.7942448044121,1.24388500902435
"ENSG00000001630.18",74.0484432692894,81.4331771712055,0.135402954525885
"ENSG00000001631.17",131.583225937222,85.770810979999,-0.611616543113092
"ENSG00000002016.18",3.64617514780139,17.2783800684913,1.97602277056791
"ENSG00000002330.14",0,8.5588763810557,3.25684104344145
"ENSG00000002549.13",0,10.2706516572668,3.49449902792435
"ENSG00000002586.20",14.465061376692,19.0804582720076,0.376779635438804
"ENSG00000002587.10",6.94603336253438,38.0073037690788,2.29543752511442
"ENSG00000002726.21",0,18.8295280383225,4.30957843534497
"ENSG00000002746.15",7.30251482904799,64.0875110774698,2.97076044752511
"ENSG00000002822.16",14.2961907950633,18.6063549244079,0.358148920931519
"ENSG00000002834.19",22.1158422211445,21.4778164561991,-0.0403800319974439
"ENSG00000002919.15",2.66901345264696,4.49604328074823,0.583001170948883
"ENSG00000002933.9",7.28153606980613,12.085362093433,0.659983556114858
"ENSG00000003056.8",6.05727283365987,5.94326869345398,-0.0234957830335811
"ENSG00000003096.15",15.8838067208423,7.55486402655225,-0.980823389695887
"ENSG00000003137.9",1.91575231362068,20.8795258737816,2.9076413990792
"ENSG00000003147.19",20.3419640372644,16.5175790982858,-0.284889538648553
"ENSG00000003249.15",16.2744023700502,5.59160317723662,-1.38993450140424
"ENSG00000003393.16",213.904171463519,243.473512665376,0.185984678810929
"ENSG00000003400.16",101.153679102705,98.0488311248658,-0.0445293091192633
"ENSG00000003402.21",411.674778359351,1122.75520458661,1.44525062521419
"ENSG00000003436.16",514.764048916206,258.415482355594,-0.991446629627202
"ENSG00000003509.16",16.4713375058156,21.856148589809,0.387592263528218
"ENSG00000003756.17",33.4185944019822,42.6409316579598,0.342493719698548
"ENSG00000003987.14",5.99395279702472,11.6784369798085,0.858196934167224
"ENSG00000003989.18",12.8939305267776,17.9154059749484,0.445106952178535
"ENSG00000004139.14",21.9596816756241,28.6889404548754,0.370822967125453
"ENSG00000004142.12",0,8.5588763810557,3.25684104344145
"ENSG00000004399.13",1.85149722911048,7.02134456136651,1.49212445494011
"ENSG00000004455.18",94.7953564538577,93.0003359847194,-0.0272898116147976
"ENSG00000004468.13",9.97238847263249,28.8797413769396,1.44529005479224
"ENSG00000004478.8",47.9634643567084,11.8840456510994,-1.92611996032307
"ENSG00000004487.18",129.500163656907,154.030693373074,0.248502256187885
"ENSG00000004534.15",41.8957124127316,42.8206109094549,0.0307761451346597
"ENSG00000004660.15",67.7383017595801,38.7077905983844,-0.791692119737854
"ENSG00000004766.17",24.6744921238713,24.3166099220146,-0.0202515080163909
"ENSG00000004779.10",3.79784143137296,8.42583888196503,0.97423554388755
"ENSG00000004799.8",6.25676312827887,20.7775166383454,1.5854413640139
"ENSG00000004846.17",17.5821113324533,35.4906181744061,0.973611158702333
"ENSG00000004848.8",10.4946816636546,2.57273168118161,-1.68586703826899
"ENSG00000004864.14",14.7989858796092,2.36502692040708,-2.23114200465065
"ENSG00000004866.22",4.09353202443208,11.7258151917498,1.32101975445265
"ENSG00000004897.12",743.905031000866,973.961688396158,0.388289022496569
"ENSG00000004939.16",105.333822379935,88.0059205158571,-0.256627348577139
"ENSG00000004961.15",4.70175230252041,5.95522651948091,0.28669213498555
"ENSG00000004975.12",8.83745546456385,8.48660570915832,-0.0523932135452903
"ENSG00000005007.14",3.2819368044011,29.2510202729264,2.82064839206457
"ENSG00000005020.13",18.9407033688479,22.1744669044752,0.216819853246808
"ENSG00000005022.6",15.1140349947964,9.46140458515766,-0.623241227814594
"ENSG00000005059.16",0,8.5588763810557,3.25684104344145
"ENSG00000005073.6",8.1610373778481,10.2928091259581,0.301821525582604
"ENSG00000005100.13",16.4382389626944,18.4934651874759,0.160736215144575
"ENSG00000005108.17",31.5304145758737,13.7010567672826,-1.14586934343077
"ENSG00000005156.12",88.5055405674934,39.8619112134521,-1.13122030668452
"ENSG00000005187.12",33.922327921104,49.0827163711297,0.520163080675628
"ENSG00000005194.15",12.819024180982,9.98515941563612,-0.33109993842753
"ENSG00000005206.17",0.593321988544948,38.7647861431949,4.64138166172719
"ENSG00000005238.20",9.00953544179636,4.43974056802474,-0.879765264741145
"ENSG00000005243.10",0,9.41476401916127,3.38055824562044
"ENSG00000005249.14",143.748141530961,81.9488855615068,-0.803250321632365
"ENSG00000005302.19",5.72449478712041,26.2031857095034,2.01627782560337
"ENSG00000005339.15",22.3114678661883,126.033841290264,2.44610112077193
"ENSG00000005379.17",10.3251205131491,58.1107018785781,2.38389294881024
"ENSG00000005381.9",9.0633456581542,3.53070501853915,-1.15130255382957
"ENSG00000005421.9",9.34404384972862,10.7020045719182,0.177955390881017
"ENSG00000005448.17",8.50344730164538,9.87834663051847,0.194936462156654
"ENSG00000005469.12",5.76587316605547,5.20302808195892,-0.12530347623242
"ENSG00000005471.19",9.90340152694676,24.234097683202,1.21059621806446
"ENSG00000005483.23",53.942314164519,17.6114060865574,-1.56173062313364
"ENSG00000005513.11",7.8190847508467,9.20823885330101,0.211033145889694
"ENSG00000005700.15",22.5987690064842,26.2846175306967,0.209376214914716
"ENSG00000005801.18",212.372430355856,213.728307030925,0.00913861119615827
"ENSG00000005810.20",489.214101676729,291.07909913459,-0.747052861731611
"ENSG00000005812.11",0,15.4059774859003,4.03614964863696
"ENSG00000005844.19",53.8722275386788,98.5851196924584,0.859854043355853
"ENSG00000005882.12",6.87166416396876,9.45913514528611,0.410022985524346
"ENSG00000005884.18",45.7614168669888,71.6761023709936,0.636162405650403
"ENSG00000005889.16",39.8044547895654,38.1866805621582,-0.0583632958816263
"ENSG00000005893.17",44.5018919001145,37.4141396895469,-0.244289087750586
"ENSG00000005961.19",10.8095660556369,3.70042606651552,-1.32909251383715
"ENSG00000005981.13",4.47081708749001,12.5256745923908,1.30587232394053
"ENSG00000006015.18",152.639583102648,117.531767549022,-0.374276188449816
"ENSG00000006025.13",14.0447516097372,13.3145822152066,-0.0717747233221461
"ENSG00000006042.12",57.6397513389974,35.062607888675,-0.701375255875435
"ENSG00000006047.13",2.33392800500911,8.56924461983219,1.52118209509821
"ENSG00000006062.18",0,9.41476401916127,3.38055824562044
"ENSG00000006071.16",50.8776563635325,107.316263960491,1.06206467284942
"ENSG00000006118.15",13.8997535361248,26.9069519130675,0.905336090638817
"ENSG00000006125.18",6.17233708068333,40.9893362421469,2.54950778483363
"ENSG00000006194.11",1.89361772097355,23.2359464704305,3.06620218068312
"ENSG00000006210.7",16.3419326609646,29.9842136279539,0.83726866573733
"ENSG00000006282.22",5.79413399299174,33.1369623540347,2.32897311094878
"ENSG00000006283.18",6.04559649700955,20.8416158872538,1.63228583490275
"ENSG00000006327.14",17.4617343731908,3.43608479648611,-2.05717924397977
"ENSG00000006377.11",0,11.1265392953724,3.60009598386537
"ENSG00000006432.16",293.908181940551,80.2801740469157,-1.8592904526263
"ENSG00000006451.8",0,17.973640400217,4.24592460460503
"ENSG00000006453.14",0.456264980089757,32.875632920697,4.53990310608082
"ENSG00000006459.11",19.8508933463305,10.2766155880692,-0.886775054968708
"ENSG00000006468.15",17.1006601742205,14.9701822848877,-0.180661536919777
"ENSG00000006530.18",97.6113462510622,85.1950138932696,-0.194149236657805
"ENSG00000006534.17",40.2773207722136,44.3177442237277,0.134726718706787
"ENSG00000006555.11",13.3227269252356,27.9222115778239,1.01387167862081
"ENSG00000006576.17",13.3901249322327,35.9219949353972,1.35940138813908
"ENSG00000006607.14",66.3531260347203,65.1062015938706,-0.0269592854536335
"ENSG00000006611.17",7.67525550679734,2.08462115506515,-1.491812936797
"ENSG00000006625.18",4.84840513388974,11.5501898982342,1.1015940348932
"ENSG00000006634.8",11.1811025208394,16.7246476500388,0.541112229699785
"ENSG00000006638.13",260.156127057517,169.897978186875,-0.611777222309733
"ENSG00000006652.15",2.29830675869135,6.96164684696414,1.27134129681481
"ENSG00000006695.12",13.0666810410017,13.775495049981,0.0709244959584586
"ENSG00000006704.11",21.011309337352,47.1174824997729,1.12831619673394
"ENSG00000006715.16",41.4265519954029,47.0712600029178,0.180207183054428
"ENSG00000006740.18",54.940630043447,53.6943241762452,-0.0325053753597668
"ENSG00000006744.19",7.82744930399372,42.5425942816515,2.30235883058802
"ENSG00000006747.15",122.611946649291,71.9342628596213,-0.761149556996897
"ENSG00000006756.16",5.35242506023816,32.5086289003097,2.39915329985732
"ENSG00000006757.12",10.4916834155005,12.8673345023498,0.271100354225016
"ENSG00000006788.14",0,13.6942022096891,3.87717512795832
"ENSG00000006831.10",9.46171121475804,13.950964788918,0.515119733341792
"ENSG00000006837.12",32.0138388796999,50.9779538196794,0.654828935118022
"ENSG00000007001.14",1.0477914401759,8.58949563329995,2.22738614783481
"ENSG00000007047.16",16.1821981194022,30.6509657303789,0.881334907332566
"ENSG00000007062.12",7.35380755362402,25.0210518371973,1.63917346696252
"ENSG00000007080.11",1.29075579685395,9.29687864214786,2.16831149516337
"ENSG00000007168.15",271.624354397249,210.264650703864,-0.367863056065585
"ENSG00000007171.19",19.9312682777886,17.1589682720354,-0.204977494577104
"ENSG00000007174.18",8.98555597536655,38.2836633529476,1.97601481146446
"ENSG00000007202.16",13.7681937853841,11.6936180961451,-0.218390045938788
"ENSG00000007237.19",14.5572665362377,36.0644629740828,1.25244801212628
"ENSG00000007264.15",5.51475525425808,9.42924891541641,0.67885237695523
"ENSG00000007312.14",6.18117707202479,7.7655112352697,0.28761789982101
"ENSG00000007314.12",11.3432457529884,18.3369032576237,0.647634958061781
"ENSG00000007341.19",17.1186919668829,2.80395255039689,-2.2519076518386
"ENSG00000007350.18",13.1829930512632,7.43382019689451,-0.74990384827387
"ENSG00000007372.25",37.5204862583444,47.1209244951298,0.321038444745914
"ENSG00000007376.8",4.21543578823758,9.48893590352221,1.00800861402545
"ENSG00000007384.15",4.98221941019118,7.2256954252881,0.459456828593726
"ENSG00000007392.17",14.8936120655747,70.0971661812727,2.16134502110072
"ENSG00000007402.12",5.28452508409737,9.08312463960963,0.682067151332425
"ENSG00000007516.15",3.2549413184715,14.7468096360461,1.88784842227665
"ENSG00000007541.17",11.5976384559335,25.0050905709715,1.04564075006916
"ENSG00000007545.16",4.76411626447779,15.112981296625,1.48305211205759
"ENSG00000007908.16",7.14712851539119,20.147951682959,1.37615436467617
"ENSG00000007923.17",40.1797968638754,71.6778138465237,0.819578310555196
"ENSG00000007933.13",23.3487677510488,7.70918627994469,-1.48323892606519
"ENSG00000007944.15",0,8.5588763810557,3.25684104344145
"ENSG00000007968.7",28.8855928458312,68.546282244152,1.21852323221419
"ENSG00000008083.14",3.50171895528621,9.4239430466523,1.21135321008466
"ENSG00000008086.13",277.723253836616,130.532821790022,-1.08341052670339
"ENSG00000008128.23",17.9681410492632,12.4665094394495,-0.494202347740641
"ENSG00000008130.15",9.100995320551,12.8557367495621,0.455985966475445
"ENSG00000008196.13",12.8397199358007,2.57014951766875,-1.95475834789258
"ENSG00000008226.20",5.43466858135878,9.20019302952581,0.664658704936029
"ENSG00000008256.17",9.04920658378029,5.41483936147807,-0.647596557290214
"ENSG00000008277.15",11.9085369341312,25.863798525681,1.05733782195813
"ENSG00000008282.10",2.90725629065907,12.0388422969292,1.73858798493267
"ENSG00000008283.16",20.6395213301967,34.9814314222334,0.733583994519228
"ENSG00000008294.22",49.5895765372105,59.8311219248596,0.265969449431952
"ENSG00000008300.17",15.9905559836392,11.2566442457765,-0.471169026023986
"ENSG00000008311.16",239.342253445083,203.908834723152,-0.230108116177381
"ENSG00000008323.16",5.58805311619552,5.36859607025796,-0.0488768152585615
"ENSG00000008324.12",10.7363647366517,15.6477545352464,0.50434198620952
"ENSG00000008394.13",74.9794123547018,25.2069193481947,-1.53566078058709
"ENSG00000008405.12",0.772114422892193,31.0834758274565,4.17828678274239
"ENSG00000008441.19",9.33858646191204,19.7031960618938,1.00181455400767
"ENSG00000008513.17",4.94454706232341,75.6388796154485,3.68843767561254
"ENSG00000008516.18",0.762967973751298,14.4173810414559,3.12847954283859
"ENSG00000008517.19",0,30.8119549718005,4.99149712886654
"ENSG00000008710.20",82.5253125701023,136.358162720571,0.717657265772841
"ENSG00000008735.14",15.1741182408218,29.9852678606356,0.9378953767137
"ENSG00000008838.21",15.8397504292425,7.63900924705331,-0.962932983854986
"ENSG00000008853.18",16.5330150714006,17.2987200921829,0.0616686314145962
"ENSG00000008869.12",0.507698570257022,39.3934534617165,4.74370156659293
"ENSG00000008952.17",15.5684228552405,38.2183863794345,1.24309389854599
"ENSG00000008988.11",117.051619337797,157.81926046396,0.427968051386176
"ENSG00000009307.17",14.6658528568774,41.9341449830243,1.45450214845578
"ENSG00000009335.19",60.5092663409297,27.1032868050272,-1.13006489817953
"ENSG00000009413.17",1259.27082844626,258.391596668266,-2.28053015045124
"ENSG00000009694.14",4.79438648230688,10.8460175648959,1.03167431055427
"ENSG00000009709.13",20.3375594094935,15.7344346761011,-0.350575355490867
"ENSG00000009724.18",20.189440429885,15.9984622219587,-0.317941251737686
"ENSG00000009765.15",119.004190092409,89.1145092602627,-0.413253463215693
"ENSG00000009780.16",18.0630917718656,22.0892417001096,0.276438669150424
"ENSG00000009790.15",33.7162995550652,8.4528849180065,-1.87678658114256
"ENSG00000009830.13",19.4528818582532,45.4431382682225,1.18316132512419
"ENSG00000009844.16",37.3592116208491,20.5571789842428,-0.831404673145794
"ENSG00000009950.16",194.572086871998,116.882130245954,-0.730355438854123
"ENSG00000009954.11",4.13744240997015,38.6712331305064,2.94897102096273
"ENSG00000010017.13",0,21.3971909526393,4.4852458962406
"ENSG00000010072.16",41.7064224460993,6.61768580982216,-2.48702835670684
"ENSG00000010219.14",43.2719418078951,7.85728547864625,-2.32145612860109
"ENSG00000010244.19",46.3024928216772,123.621853839373,1.39756896318975
"ENSG00000010256.12",4.78974840361931,50.1070160216864,3.14194879769756
"ENSG00000010270.14",9.0350670616085,16.6019797060915,0.810687440967333
"ENSG00000010278.15",32.1656449411554,18.466907816917,-0.768665840712995
"ENSG00000010292.13",6.68364390374224,4.488569473787,-0.485360481258233
"ENSG00000010295.20",7.23274883095689,22.3981232842794,1.5069467014534
"ENSG00000010310.9",14.4057601044674,56.2275085886518,1.89323893499589
"ENSG00000010318.22",17.8354642963019,6.55996379215421,-1.31700036641548
"ENSG00000010322.16",35.6584031849831,19.6307163943559,-0.829350025264307
"ENSG00000010327.10",43.8189770658007,3.42317438799981,-3.34095569346622
"ENSG00000010379.16",7.478340091942,11.7673172011555,0.590601659556576
"ENSG00000010404.18",258.428871673843,253.532043752028,-0.0274917524815442
"ENSG00000010438.17",18.2913443446886,1.20275467923101,-3.13057294697606
"ENSG00000010539.12",22.6732771029814,59.5414590430988,1.35466401153438
"ENSG00000010610.10",3.07785273121519,15.5952880763885,2.02489209378028
"ENSG00000010671.18",88.8377799325337,98.7417741265229,0.150875588371838
"ENSG00000010704.20",308.177356325305,220.963671088538,-0.478111093126645
"ENSG00000010810.18",22.2395867261889,7.91381612288442,-1.38246930727661
"ENSG00000010818.11",42.8635016095125,25.8961577640606,-0.705620894410701
"ENSG00000011007.13",0.587574727464984,20.422934205786,3.75425968671949
"ENSG00000011009.12",2.32796638748571,11.1685461352734,1.87044404165454
"ENSG00000011021.23",43.2975395456241,32.7732248735463,-0.391346624971573
"ENSG00000011028.14",0.880346945072689,18.1746527202169,3.3501296637688
"ENSG00000011083.9",7.14975228265828,9.09122406347664,0.308273070269022
"ENSG00000011105.14",1.83108646922653,22.9372018776051,3.07982680038029
"ENSG00000011114.15",91.1299262878111,95.8192369477197,0.0716238653176005
"ENSG00000011132.12",15.6877184502723,17.2109157144718,0.126016745864753
"ENSG00000011143.19",161.326589038674,159.112023336999,-0.0198176835618499
"ENSG00000011198.10",8.251869978177,15.2692662794277,0.81433229279037
"ENSG00000011201.12",23.3264280654821,2.0577518283234,-2.99198127457622
"ENSG00000011243.19",1.02782931275661,36.971119161882,4.22689439414756
"ENSG00000011258.16",15.6494923474658,15.7832595790239,0.0115447482067467
"ENSG00000011275.19",19.5074147303388,78.4317153836115,1.9535695298856
"ENSG00000011295.16",190.880880103787,160.251775784814,-0.250895913605552
"ENSG00000011304.22",4.07923273747165,12.7474952635897,1.43648630268399
"ENSG00000011332.22",9.35900309207253,19.2328176654272,0.965812076024703
"ENSG00000011347.10",29.1876565885793,13.704423264885,-1.0377085673519
"ENSG00000011376.12",23.6656627406765,19.6064654974769,-0.259406982233348
"ENSG00000011405.14",16.0180489246076,12.73563346948,-0.309142198081617
