"Gene","Normal","Tumor","log2FC","MeanExpr"
"ENSG00000276046.1",366.870586768855,0,-8.52305451947216,2.26584403090124
"ENSG00000105640.13",0,139.509685011208,7.1345257653176,1.84975616859905
"ENSG00000167526.14",0,115.544831144252,6.8647412109904,1.76917354077542
"ENSG00000227717.5",103.985612173338,0,-6.71404781606179,1.7242169169797
"ENSG00000211592.8",0,91.579977277296,6.5326283034241,1.6701529397386
"ENSG00000142534.7",0,82.1652132581347,6.37790829206777,1.62410263251355
"ENSG00000115268.10",1.68879155612431,166.983307665972,5.96521615360223,1.93113253456462
"ENSG00000211677.2",0,58.2003593911788,5.88753402902364,1.47856908830381
"ENSG00000087086.15",2.31662399831656,188.20490520552,5.83409021653651,1.98344930696813
"ENSG00000237850.8",0,53.0650335625454,5.7566239308011,1.43984591260147
"ENSG00000034510.6",0,51.3532582863342,5.710207423204,1.42613095129362
"ENSG00000250745.3",50.2402395893655,0,-5.6792053163433,1.41697516441201
"ENSG00000213297.8",49.0718619244965,0,-5.64592819798816,1.40715169553392
"ENSG00000167978.19",1.37233389594135,113.67495946968,5.59509950990633,1.7673313797376
"ENSG00000211896.7",5.2658922688131,296.246090950056,5.56799406187534,2.1811458468415
"ENSG00000279296.1",0,45.3620448195952,5.53487229337221,1.37440044878348
"ENSG00000204525.18",0,44.5061571814896,5.50798985633549,1.36648045943937
"ENSG00000104626.15",0.528392714786046,68.1311437357287,5.49924860320879,1.54814078833148
"ENSG00000274599.2",0,43.6502695433841,5.48059697947753,1.35841335051869
"ENSG00000139725.8",0,43.6502695433841,5.48059697947753,1.35841335051869
"ENSG00000161016.18",1.47424819197504,108.529893996783,5.46819064374569,1.7482040885817
"ENSG00000133104.14",81.5771625367723,0.882599955196342,-5.45494447558205,1.62561986015363
"ENSG00000275793.1",0,42.7943819052785,5.45267390267607,1.3501935526972
"ENSG00000149187.19",1.98279138626166,128.606570397088,5.44133196677531,1.82147868448223
"ENSG00000142541.18",1.76259572178225,118.007775367615,5.4288875711769,1.7845116338667
"ENSG00000136942.15",1.5666182789087,107.237354664997,5.39818592837391,1.74352533690065
"ENSG00000204740.11",80.9975432027654,0.962992171314857,-5.38445436032071,1.62304520353256
"ENSG00000110497.15",0.39171477448801,56.1633143114273,5.36015409296301,1.46653420537492
"ENSG00000079385.23",307.577298860418,6.58045963567198,-5.34720279286885,2.19887384818159
"ENSG00000105928.16",0.628314315197385,63.662404361158,5.31147603609931,1.52042273168789
"ENSG00000130032.17",41.8658868102403,1698.6144428835,5.30923370803039,2.94013788852146
"ENSG00000149591.17",0,38.5149437147507,5.30432644807656,1.30658524423742
"ENSG00000230045.4",0,38.5149437147507,5.30432644807656,1.30658524423742
"ENSG00000283907.2",9.57763530320713,413.463227052921,5.29215506026075,2.32740068836919
"ENSG00000196924.19",0.775495866241945,67.0538712888208,5.2603833261579,1.54300811049977
"ENSG00000124614.17",0.655247087904503,59.5195319749119,5.192282333277,1.49258425502154
"ENSG00000130522.6",0,35.0913931623284,5.17358292860712,1.26824315018414
"ENSG00000211679.2",0,35.0913931623284,5.17358292860712,1.26824315018414
"ENSG00000232264.5",0,35.0913931623284,5.17358292860712,1.26824315018414
"ENSG00000251694.1",35.051329946069,0,-5.17198057685574,1.26777380579773
"ENSG00000145703.17",0.341749942200355,46.8178572232788,5.15536175149158,1.39057840811621
"ENSG00000143756.12",0.54307444954776,53.3996766449783,5.13971850084447,1.44671382417978
"ENSG00000131503.21",0,34.2355055242228,5.13895800747026,1.25810432890708
"ENSG00000276449.1",0,34.2355055242228,5.13895800747026,1.25810432890708
"ENSG00000257198.7",33.8829522812,0,-5.12445024111468,1.25385817189335
"ENSG00000103335.22",0.339056621303927,44.2403983804054,5.07832276288299,1.36716440714492
"ENSG00000104635.15",0,32.5237302480117,5.06711078422551,1.23708771891695
"ENSG00000128791.12",0,32.5237302480117,5.06711078422551,1.23708771891695
"ENSG00000086589.12",43.7717494850967,0.365532568111029,-5.03505306551448,1.36302201099136
"ENSG00000015133.20",0,31.6678426099061,5.02979927697399,1.22618529260912
"ENSG00000186788.14",31.5461969514621,0,-5.02441706808434,1.22461329675125
"ENSG00000232035.1",2.19741460910669,102.84813756284,5.02142570187954,1.72853863105932
"ENSG00000108465.15",0.569925455327266,49.1292321447928,4.99688417333127,1.41245347097735
"ENSG00000008517.19",0,30.8119549718005,4.99149712886654,1.21500211122836
"ENSG00000101335.10",0,30.8119549718005,4.99149712886654,1.21500211122836
"ENSG00000102781.14",2.73134447392076,117.15841888689,4.9848830615463,1.78493723823504
"ENSG00000155066.16",0.485162997639508,45.3455851065269,4.96373873228014,1.37867717791069
"ENSG00000261819.1",0,29.9560673336949,4.95215029768265,1.20352333191275
"ENSG00000116001.17",0.787059755571113,53.3631655064406,4.92696968404491,1.44832150722829
"ENSG00000092841.19",1.36079731022852,70.5468766570964,4.9215427009371,1.56765953865282
"ENSG00000218839.5",29.2094416217241,0,-4.91692761304741,1.19325600296696
"ENSG00000256433.3",0,29.1001796955894,4.91170019466841,1.19173290270618
"ENSG00000142937.12",1.10818558502784,61.3615633687311,4.88658331691333,1.50832598340071
"ENSG00000211897.9",8.90308143227855,291.135155812748,4.8826146711334,2.17903193131079
"ENSG00000064933.19",0.605556810596585,46.2384362788602,4.87881558936461,1.38778116546121
"ENSG00000196581.11",0,28.2442920574838,4.87008315979019,1.17961342756105
"ENSG00000101236.17",0,28.2442920574838,4.87008315979019,1.17961342756105
"ENSG00000110047.18",0,28.2442920574838,4.87008315979019,1.17961342756105
"ENSG00000253238.3",0,28.2442920574838,4.87008315979019,1.17961342756105
"ENSG00000212807.3",0,27.3884044193783,4.82722985902752,1.16714601195779
"ENSG00000293391.1",0,27.3884044193782,4.82722985902752,1.16714601195779
"ENSG00000284981.2",26.8726862919862,0,-4.80078014696546,1.159457196513
"ENSG00000285942.1",26.8726862919862,0,-4.80078014696546,1.159457196513
"ENSG00000099139.14",14893.9168035127,533.397366509147,-4.80076335684088,3.88731662652394
"ENSG00000110514.20",0,26.5325167812727,4.78306458937955,1.15431008570256
"ENSG00000168077.14",0,26.5325167812727,4.78306458937955,1.15431008570256
"ENSG00000147813.16",0,26.5325167812727,4.78306458937955,1.15431008570256
"ENSG00000150764.14",0,26.5325167812727,4.78306458937955,1.15431008570256
"ENSG00000275183.2",0,26.5325167812727,4.78306458937955,1.15431008570256
"ENSG00000171877.21",0.685664029234298,45.2116469265839,4.77686758072617,1.37928113633448
"ENSG00000084207.18",0.732736419834194,46.4014058529991,4.77380573126976,1.39035338337824
"ENSG00000104774.13",0.381633832942755,36.6843785626837,4.76951938027894,1.29076908786801
"ENSG00000124181.15",0.486157594319297,39.0819771654565,4.75329466102224,1.31773054167093
"ENSG00000008869.12",0.507698570257022,39.3934534617165,4.74370156659293,1.32119596797656
"ENSG00000075651.17",0,25.6766291431671,4.7375044740907,1.14108319873099
"ENSG00000107372.13",0,25.6766291431671,4.7375044740907,1.14108319873099
"ENSG00000143569.20",0,25.6766291431671,4.7375044740907,1.14108319873099
"ENSG00000143786.8",0,25.6766291431671,4.7375044740907,1.14108319873099
"ENSG00000182196.14",0,25.6766291431671,4.7375044740907,1.14108319873099
"ENSG00000196981.4",0,25.6766291431671,4.7375044740907,1.14108319873099
"ENSG00000231574.7",0,25.6766291431671,4.7375044740907,1.14108319873099
"ENSG00000255330.9",0,25.6766291431671,4.7375044740907,1.14108319873099
"ENSG00000105372.8",6.11840562185985,186.976815645029,4.72285678304253,1.98921663609426
"ENSG00000258035.2",56.2744227361341,1.20836423891625,-4.69684096350388,1.47336131286667
"ENSG00000068650.19",1.50593798450016,63.7476449814523,4.69140510243205,1.52668543086758
"ENSG00000126778.12",0,24.8207415050615,4.69045852660584,1.12744078482792
"ENSG00000167634.12",0,24.8207415050615,4.69045852660584,1.12744078482792
"ENSG00000130313.7",0,24.8207415050615,4.69045852660584,1.12744078482792
"ENSG00000142676.14",0,24.8207415050615,4.69045852660584,1.12744078482792
"ENSG00000286038.2",0,24.8207415050615,4.69045852660584,1.12744078482792
