"","Normal","Tumor"
"ENSG00000000003.16",2.82673114534151,28.6550067322423
"ENSG00000000419.14",62.060756891308,75.7322378170716
"ENSG00000000457.14",21.73620488436,27.3276776309467
"ENSG00000000460.17",54.3995359278998,22.4634269237079
"ENSG00000000971.17",202.842122529809,81.7729561943545
"ENSG00000001084.13",46.3537278622386,80.0367127111323
"ENSG00000001167.15",6.70515707634064,10.7380034770631
"ENSG00000001460.18",42.4327148537284,60.2365417534772
"ENSG00000001461.17",10.965928692855,66.3874460969584
"ENSG00000001497.18",137.024367650906,47.8163126188796
"ENSG00000001617.12",5.05937540965448,7.11550282102086
"ENSG00000001626.18",15.4119183227989,35.4271277957851
"ENSG00000001629.10",7.7800391740974,19.7942448044121
"ENSG00000001630.18",74.0484432692894,81.4331771712055
"ENSG00000001631.17",131.583225937222,85.770810979999
"ENSG00000002016.18",3.64617514780139,17.2783800684913
"ENSG00000002330.14",0,8.5588763810557
"ENSG00000002549.13",0,10.2706516572668
"ENSG00000002586.20",14.465061376692,19.0804582720076
"ENSG00000002587.10",6.94603336253438,38.0073037690788
"ENSG00000002726.21",0,18.8295280383225
"ENSG00000002746.15",7.30251482904799,64.0875110774698
"ENSG00000002822.16",14.2961907950633,18.6063549244079
"ENSG00000002834.19",22.1158422211445,21.4778164561991
"ENSG00000002919.15",2.66901345264696,4.49604328074823
"ENSG00000002933.9",7.28153606980613,12.085362093433
"ENSG00000003056.8",6.05727283365987,5.94326869345398
"ENSG00000003096.15",15.8838067208423,7.55486402655225
"ENSG00000003137.9",1.91575231362068,20.8795258737816
"ENSG00000003147.19",20.3419640372644,16.5175790982858
"ENSG00000003249.15",16.2744023700502,5.59160317723662
"ENSG00000003393.16",213.904171463519,243.473512665376
"ENSG00000003400.16",101.153679102705,98.0488311248658
"ENSG00000003402.21",411.674778359351,1122.75520458661
"ENSG00000003436.16",514.764048916206,258.415482355594
"ENSG00000003509.16",16.4713375058156,21.856148589809
"ENSG00000003756.17",33.4185944019822,42.6409316579598
"ENSG00000003987.14",5.99395279702472,11.6784369798085
"ENSG00000003989.18",12.8939305267776,17.9154059749484
"ENSG00000004139.14",21.9596816756241,28.6889404548754
"ENSG00000004142.12",0,8.5588763810557
"ENSG00000004399.13",1.85149722911048,7.02134456136651
"ENSG00000004455.18",94.7953564538577,93.0003359847194
"ENSG00000004468.13",9.97238847263249,28.8797413769396
"ENSG00000004478.8",47.9634643567084,11.8840456510994
"ENSG00000004487.18",129.500163656907,154.030693373074
"ENSG00000004534.15",41.8957124127316,42.8206109094549
"ENSG00000004660.15",67.7383017595801,38.7077905983844
"ENSG00000004766.17",24.6744921238713,24.3166099220146
"ENSG00000004779.10",3.79784143137296,8.42583888196503
"ENSG00000004799.8",6.25676312827887,20.7775166383454
"ENSG00000004846.17",17.5821113324533,35.4906181744061
"ENSG00000004848.8",10.4946816636546,2.57273168118161
"ENSG00000004864.14",14.7989858796092,2.36502692040708
"ENSG00000004866.22",4.09353202443208,11.7258151917498
"ENSG00000004897.12",743.905031000866,973.961688396158
"ENSG00000004939.16",105.333822379935,88.0059205158571
"ENSG00000004961.15",4.70175230252041,5.95522651948091
"ENSG00000004975.12",8.83745546456385,8.48660570915832
"ENSG00000005007.14",3.2819368044011,29.2510202729264
"ENSG00000005020.13",18.9407033688479,22.1744669044752
"ENSG00000005022.6",15.1140349947964,9.46140458515766
"ENSG00000005059.16",0,8.5588763810557
"ENSG00000005073.6",8.1610373778481,10.2928091259581
"ENSG00000005100.13",16.4382389626944,18.4934651874759
"ENSG00000005108.17",31.5304145758737,13.7010567672826
"ENSG00000005156.12",88.5055405674934,39.8619112134521
"ENSG00000005187.12",33.922327921104,49.0827163711297
"ENSG00000005194.15",12.819024180982,9.98515941563612
"ENSG00000005206.17",0.593321988544948,38.7647861431949
"ENSG00000005238.20",9.00953544179636,4.43974056802474
"ENSG00000005243.10",0,9.41476401916127
"ENSG00000005249.14",143.748141530961,81.9488855615068
"ENSG00000005302.19",5.72449478712041,26.2031857095034
"ENSG00000005339.15",22.3114678661883,126.033841290264
"ENSG00000005379.17",10.3251205131491,58.1107018785781
"ENSG00000005381.9",9.0633456581542,3.53070501853915
"ENSG00000005421.9",9.34404384972862,10.7020045719182
"ENSG00000005448.17",8.50344730164538,9.87834663051847
"ENSG00000005469.12",5.76587316605547,5.20302808195892
"ENSG00000005471.19",9.90340152694676,24.234097683202
"ENSG00000005483.23",53.942314164519,17.6114060865574
"ENSG00000005513.11",7.8190847508467,9.20823885330101
"ENSG00000005700.15",22.5987690064842,26.2846175306967
"ENSG00000005801.18",212.372430355856,213.728307030925
"ENSG00000005810.20",489.214101676729,291.07909913459
"ENSG00000005812.11",0,15.4059774859003
"ENSG00000005844.19",53.8722275386788,98.5851196924584
"ENSG00000005882.12",6.87166416396876,9.45913514528611
"ENSG00000005884.18",45.7614168669888,71.6761023709936
"ENSG00000005889.16",39.8044547895654,38.1866805621582
"ENSG00000005893.17",44.5018919001145,37.4141396895469
"ENSG00000005961.19",10.8095660556369,3.70042606651552
"ENSG00000005981.13",4.47081708749001,12.5256745923908
"ENSG00000006015.18",152.639583102648,117.531767549022
"ENSG00000006025.13",14.0447516097372,13.3145822152066
"ENSG00000006042.12",57.6397513389974,35.062607888675
"ENSG00000006047.13",2.33392800500911,8.56924461983219
"ENSG00000006062.18",0,9.41476401916127
"ENSG00000006071.16",50.8776563635325,107.316263960491
"ENSG00000006118.15",13.8997535361248,26.9069519130675
"ENSG00000006125.18",6.17233708068333,40.9893362421469
"ENSG00000006194.11",1.89361772097355,23.2359464704305
"ENSG00000006210.7",16.3419326609646,29.9842136279539
"ENSG00000006282.22",5.79413399299174,33.1369623540347
"ENSG00000006283.18",6.04559649700955,20.8416158872538
"ENSG00000006327.14",17.4617343731908,3.43608479648611
"ENSG00000006377.11",0,11.1265392953724
"ENSG00000006432.16",293.908181940551,80.2801740469157
"ENSG00000006451.8",0,17.973640400217
"ENSG00000006453.14",0.456264980089757,32.875632920697
"ENSG00000006459.11",19.8508933463305,10.2766155880692
"ENSG00000006468.15",17.1006601742205,14.9701822848877
"ENSG00000006530.18",97.6113462510622,85.1950138932696
"ENSG00000006534.17",40.2773207722136,44.3177442237277
"ENSG00000006555.11",13.3227269252356,27.9222115778239
"ENSG00000006576.17",13.3901249322327,35.9219949353972
"ENSG00000006607.14",66.3531260347203,65.1062015938706
"ENSG00000006611.17",7.67525550679734,2.08462115506515
"ENSG00000006625.18",4.84840513388974,11.5501898982342
"ENSG00000006634.8",11.1811025208394,16.7246476500388
"ENSG00000006638.13",260.156127057517,169.897978186875
"ENSG00000006652.15",2.29830675869135,6.96164684696414
"ENSG00000006695.12",13.0666810410017,13.775495049981
"ENSG00000006704.11",21.011309337352,47.1174824997729
"ENSG00000006715.16",41.4265519954029,47.0712600029178
"ENSG00000006740.18",54.940630043447,53.6943241762452
"ENSG00000006744.19",7.82744930399372,42.5425942816515
"ENSG00000006747.15",122.611946649291,71.9342628596213
"ENSG00000006756.16",5.35242506023816,32.5086289003097
"ENSG00000006757.12",10.4916834155005,12.8673345023498
"ENSG00000006788.14",0,13.6942022096891
"ENSG00000006831.10",9.46171121475804,13.950964788918
"ENSG00000006837.12",32.0138388796999,50.9779538196794
"ENSG00000007001.14",1.0477914401759,8.58949563329995
"ENSG00000007047.16",16.1821981194022,30.6509657303789
"ENSG00000007062.12",7.35380755362402,25.0210518371973
"ENSG00000007080.11",1.29075579685395,9.29687864214786
"ENSG00000007168.15",271.624354397249,210.264650703864
"ENSG00000007171.19",19.9312682777886,17.1589682720354
"ENSG00000007174.18",8.98555597536655,38.2836633529476
